address,state,provAbortion,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code
"1682 7th Street, Oakland, CA 94607",CA,Provides Abortions,37.806723,-122.300108,1,range_interpolation,1682,7th St,,,Oakland,CA,Alameda County,94607,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6001,Oakland,653000,401800,2009,2,6.0014E+13,6001401800,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"1119 Pacific Ave. Suite 200, Santa Cruz, CA 95060",CA,Provides Abortions,36.972198,-122.025973,1,rooftop,1119,Pacific Ave,Ste,200,Santa Cruz,CA,Santa Cruz County,95060,US,City of Santa Cruz,2018,6,6087,Santa Cruz,669112,101000,1002,1,6.0871E+13,6087101000,"Santa Cruz-Watsonville, CA",42100,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"520 Cottonwood Street, Suite 10, Woodland, CA 95695",CA,Provides Abortions,38.674941,-121.794098,1,rooftop,520,Cottonwood St,Ste,10,Woodland,CA,Yolo County,95695,US,Yolo,2018,6,6113,Woodland,686328,11001,1007,1,6.11301E+13,6113011001,"Sacramento--Roseville--Arden-Arcade, CA",40900,metropolitan,"Sacramento-Roseville, CA",472,,
"430 Palora Ave #G, Yuba City, CA 95991",CA,Provides Abortions,39.128148,-121.633967,1,rooftop,430,Palora Ave,Ste,G,Yuba City,CA,Sutter County,95991,US,Sutter,2018,6,6101,Yuba City,686972,50201,2012,2,6.10105E+13,6101050201,"Yuba City, CA",49700,metropolitan,"Sacramento-Roseville, CA",472,,
"2530 Chamberlain Street, Ames, IA 50014",IA,Provides Abortions,42.021232,-93.651498,1,rooftop,2530,Chamberlain St,,,Ames,IA,Story County,50014,US,Polk,2018,19,19169,Ames,1901855,1100,1008,1,1.9169E+14,19169001100,"Ames, IA",11180,metropolitan,"Des Moines-Ames-West Des Moines, IA",218,,
"2520 Melrose Drive, Suite L, Cedar Falls, IA 50613",IA,Provides Abortions,42.514298,-92.430923,1,rooftop,2520,Melrose Dr,Ste,L,Cedar Falls,IA,Black Hawk County,50613,US,Statewide,2018,19,19013,Cedar Falls,1911755,2301,2023,2,1.9013E+14,19013002301,"Waterloo-Cedar Falls, IA",47940,metropolitan,,,,
"1604 2nd Ave, Council Bluffs, IA 51501",IA,Provides Abortions,41.259922,-95.867833,1,rooftop,1604,2nd Ave,,,Council Bluffs,IA,Pottawattamie County,51501,US,Pottawattamie,2018,19,19155,Council Bluffs,1916860,30602,1009,1,1.9155E+14,19155030602,"Omaha-Council Bluffs, NE-IA",36540,metropolitan,"Omaha-Council Bluffs-Fremont, NE-IA",420,,
"5631 S. 48th Street, Lincoln, NE 68516",NE,Provides Abortions,40.756296,-96.65427,1,rooftop,5631,S 48th St,,,Lincoln,NE,Lancaster County,68516,US,Lincoln,2018,31,31109,Lincoln,3128000,3704,3008,3,3.1109E+14,31109003704,"Lincoln, NE",30700,metropolitan,"Lincoln-Beatrice, NE",339,,
"3105 N. 93rd St, Omaha, NE 68134",NE,Provides Abortions,41.287184,-96.055367,1,rooftop,3105,N 93rd St,,,Omaha,NE,Douglas County,68134,US,Douglas,2018,31,31055,Omaha,3137000,7436,3016,3,3.1055E+14,31055007436,"Omaha-Council Bluffs, NE-IA",36540,metropolitan,"Omaha-Council Bluffs-Fremont, NE-IA",420,,
"1212 7th St. NW, Rochester, MN 55901",MN,Provides Abortions,44.031117,-92.481104,1,rooftop,1212,7th St NW,,,Rochester,MN,Olmsted County,55901,US,Olmsted,2018,27,27109,Rochester,2754880,600,5021,5,2.7109E+14,27109000600,"Rochester, MN",40340,metropolitan,"Rochester-Austin, MN",462,,
"1000 E. Army Post Road, Des Moines, IA 50315",IA,Provides Abortions,41.527669,-93.602641,1,rooftop,1000,E Army Post Rd,,,Des Moines,IA,Polk County,50315,US,Polk,2018,19,19153,Des Moines,1921000,4602,1013,1,1.9153E+14,19153004602,"Des Moines-West Des Moines, IA",19780,metropolitan,"Des Moines-Ames-West Des Moines, IA",218,,
"6511 West 41st Street, Sioux Falls, SD 57106",SD,Provides Abortions,43.514523,-96.807817,1,rooftop,6511,W 41st St,,,Sioux Falls,SD,Minnehaha County,57106,US,City of Sioux Falls,2018,46,46099,Sioux Falls,4659020,1105,1001,1,4.6099E+14,46099001105,"Sioux Falls, SD",43620,metropolitan,,,,
"671 Vandalia St., St. Paul, MN 55114",MN,Provides Abortions,44.961608,-93.189447,1,rooftop,671,Vandalia St,,,Saint Paul,MN,Ramsey County,55114,US,Ramsey,2018,27,27123,St. Paul,2758000,31900,1033,1,2.7123E+14,27123031900,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378,,
"1104 Buchanan Road #C10, Antioch, CA 94509",CA,Provides Abortions,37.998857,-121.822962,1,rooftop,1104,Buchanan Rd,Ste,C10,Antioch,CA,Contra Costa County,94509,US,Contra Costa,2018,6,6013,Antioch,602252,307205,1004,1,6.01331E+13,6013307205,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"3100 Cohasset Rd., Chico, CA 95973",CA,Provides Abortions,39.771866,-121.843134,1,rooftop,3100,Cohasset Rd,,,Chico,CA,Butte County,95973,US,Butte,2018,6,6007,Chico,613014,104,2005,2,6.007E+13,6007000104,"Chico, CA",17020,metropolitan,,,,
"14671 Olympic Drive, Clearlake, CA 95422",CA,Provides Abortions,38.961746,-122.638242,1,rooftop,14671,Olympic Dr,,,Clearlake,CA,Lake County,95422,US,Lake,2018,6,6033,Clearlake,613945,802,3003,3,6.033E+13,6033000802,"Clearlake, CA",17340,micropolitan,,,,
"2185 Pacheco Street, Concord, CA 94520",CA,Provides Abortions,37.97908,-122.03486,1,rooftop,2185,Pacheco St,,,Concord,CA,Contra Costa County,94520,US,Contra Costa,2018,6,6013,Concord,616000,328000,1004,1,6.01333E+13,6013328000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"320 El Cerrito Plaza, El Cerrito, CA 94530",CA,Provides Abortions,37.918024,-122.30248,0.33,place,,,,,El Cerrito,CA,Contra Costa County,94530,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6013,El Cerrito,621796,387000,2001,2,6.01339E+13,6013387000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"3225 Timber Fall Court, Suite B, Eureka, CA 95503",CA,Provides Abortions,40.778915,-124.135283,1,rooftop,3225,Timber Fall Ct,Ste,B,Eureka,CA,Humboldt County,95503,US,Humboldt,2018,6,6023,Myrtletown,650188,700,1002,1,6.023E+13,6023000700,"Eureka-Arcata-Fortuna, CA",21700,micropolitan,,,,
"1325 Travis Blvd. #C, Fairfield, CA 94533",CA,Provides Abortions,38.257575,-122.052006,1,rooftop,1325,Travis Blvd,Ste,C,Fairfield,CA,Solano County,94533,US,Solano,2018,6,6095,Fairfield,623182,252401,1001,1,6.09525E+13,6095252401,"Vallejo-Fairfield, CA",46700,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"2970 Hilltop Mall Rd #307, Richmond, CA 94806",CA,Provides Abortions,37.977437,-122.329144,1,rooftop,2970,Hilltop Mall Rd,Ste,307,San Pablo,CA,Contra Costa County,94806,US,Contra Costa,2018,6,6013,Richmond,660620,365003,1029,1,6.01337E+13,6013365003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"1735 Jefferson St, Napa, CA 94559",CA,Provides Abortions,38.303526,-122.294605,1,rooftop,1735,Jefferson St,,,Napa,CA,Napa County,94559,US,Napa,2018,6,6055,Napa,650258,200501,3023,3,6.0552E+13,6055200501,"Napa, CA",34900,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"2935 Bechelli Lane, Redding, CA 96002",CA,Provides Abortions,40.56453,-122.36234,1,rooftop,2935,Bechelli Ln,,,Redding,CA,Shasta County,96002,US,Shasta,2018,6,6089,Redding,659920,10900,1017,1,6.08901E+13,6089010900,"Redding, CA",39820,metropolitan,"Redding-Red Bluff, CA",454,,
"1650 Valencia St, San Francisco, CA 94110",CA,Provides Abortions,37.746157,-122.420328,1,rooftop,1650,Valencia St,,,San Francisco,CA,San Francisco County,94110,US,San Francisco,2018,6,6075,San Francisco,667000,25300,4005,4,6.07503E+13,6075025300,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"San Francisco-Redwood City-South San Francisco, CA",41884
"2 H Street, San Rafael, CA 94901",CA,Provides Abortions,37.974359,-122.538385,1,rooftop,2,H St,,,San Rafael,CA,Marin County,94901,US,Marin,2018,6,6041,San Rafael,668364,111000,2005,2,6.04111E+13,6041111000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"San Rafael, CA",42034
"200 Porter Drive, Suite 200, San Ramon, CA 94583",CA,Provides Abortions,37.773842,-121.990482,1,rooftop,200,Porter Dr,Ste,200,San Ramon,CA,Contra Costa County,94583,US,Contra Costa,2018,6,6013,San Ramon,668378,345202,3030,3,6.01335E+13,6013345202,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"1140 Sonoma Ave Building 3, Santa Rosa, CA 95405",CA,Provides Abortions,38.440974,-122.700065,1,range_interpolation,1140,Sonoma Ave,Ste,3,Santa Rosa,CA,Sonoma County,95405,US,TIGER/Line® dataset from the US Census Bureau,2018,6,6097,Santa Rosa,670098,151800,4006,4,6.09715E+13,6097151800,"Santa Rosa, CA",42220,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"242-A Hospital Drive, Ukiah, CA 95482",CA,Provides Abortions,39.15251,-123.204056,1,rooftop,242,Hospital Dr,,,Ukiah,CA,Mendocino County,95482,US,Mendocino,2018,6,6045,Ukiah,681134,11500,1040,1,6.04501E+13,6045011500,"Ukiah, CA",46380,micropolitan,,,,
"303 Sacramento Street, Vallejo, CA 94590",CA,Provides Abortions,38.099655,-122.258846,1,rooftop,303,Sacramento St,,,Vallejo,CA,Solano County,94590,US,Solano,2018,6,6095,Vallejo,681666,250900,2017,2,6.09525E+13,6095250900,"Vallejo-Fairfield, CA",46700,metropolitan,"San Jose-San Francisco-Oakland, CA",488,,
"1357 Oakland Blvd., Walnut Creek, CA 94596",CA,Provides Abortions,37.897865,-122.07043,1,rooftop,1357,Oakland Blvd,,,Walnut Creek,CA,Contra Costa County,94596,US,City of Walnut Creek,2018,6,6013,Walnut Creek,683346,339002,1007,1,6.01334E+13,6013339002,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
"2824 W Ridge Road, Rochester, NY 14626",NY,Provides Abortions,43.210614,-77.70374,1,rooftop,2824,W Ridge Rd,,,Rochester,NY,Monroe County,14626,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36055,Greece,3630279,13505,2018,2,3.6055E+14,36055013505,"Rochester, NY",40380,metropolitan,"Rochester-Batavia-Seneca Falls, NY",464,,
"222 W Main Street, Batavia, NY 14020",NY,Provides Abortions,43.001042,-78.193476,1,rooftop,222,W Main St,,,Batavia,NY,Genesee County,14020,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36037,Batavia,3604715,950500,2008,2,3.6038E+14,36037950500,"Batavia, NY",12860,micropolitan,"Rochester-Batavia-Seneca Falls, NY",464,,
"2697 Main Street, Buffalo, NY 14214",NY,Provides Abortions,42.940506,-78.837188,1,rooftop,2697,Main St,,,Buffalo,NY,Erie County,14214,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36029,Buffalo,3611000,4500,4012,4,3.6029E+14,36029004500,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,metropolitan,"Buffalo-Cheektowaga, NY",160,,
"15 LaFayette Avenue, Canandiagua, NY 14424",NY,Provides Abortions,42.886106,-77.277898,1,rooftop,15,Lafayette Ave,,,Canandaigua,NY,Ontario County,14424,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36069,Canandaigua,3612144,51100,2010,2,3.60691E+14,36069051100,"Rochester, NY",40380,metropolitan,"Rochester-Batavia-Seneca Falls, NY",464,,
"750 Portage Road, Niagara Falls, NY 14301",NY,Provides Abortions,43.096152,-79.049819,1,rooftop,750,Portage Rd,,,Niagara Falls,NY,Niagara County,14301,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36063,Niagara Falls,3651055,20900,2002,2,3.6063E+14,36063020900,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,metropolitan,"Buffalo-Cheektowaga, NY",160,,
"15 Webster Street, North Tonawanda, NY 14120",NY,Provides Abortions,43.022267,-78.877535,1,rooftop,15,Webster St,,,North Tonawanda,NY,Niagara County,14120,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36063,North Tonawanda,3653682,23200,3026,3,3.6063E+14,36063023200,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,metropolitan,"Buffalo-Cheektowaga, NY",160,,
"114 University Avenue, Rochester, NY 14605",NY,Provides Abortions,43.16092,-77.599554,1,rooftop,114,University Ave,,,Rochester,NY,Monroe County,14605,US,City of Rochester,2018,36,36055,Rochester,3663000,9400,1004,1,3.6055E+14,36055009400,"Rochester, NY",40380,metropolitan,"Rochester-Batavia-Seneca Falls, NY",464,,
"1120 E Genesee Street, Syracuse, NY 13210",NY,Provides Abortions,43.04658,-76.132692,1,rooftop,1120,E Genesee St,,,Syracuse,NY,Onondaga County,13210,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36067,Syracuse,3673000,3400,1045,1,3.6067E+14,36067003400,"Syracuse, NY",45060,metropolitan,"Syracuse-Auburn, NY",532,,
"Wimbledon Plaza 240 Center Road, West Seneca, NY 14224",NY,Provides Abortions,42.842062,-78.772807,1,street_center,,Wimbledon Ln,,,Buffalo,NY,Erie County,14224,US,TIGER/Line® dataset from the US Census Bureau,2018,36,36029,West Seneca,3680907,11600,1009,1,3.6029E+14,36029011600,"Buffalo-Cheektowaga-Niagara Falls, NY",15380,metropolitan,"Buffalo-Cheektowaga, NY",160,,
"14601 SE Division Street Portland, OR 97233",OR,Provides Abortions,45.504533,-122.512932,1,rooftop,14601,SE Division St,,,Portland,OR,Multnomah County,97236,US,Portland Metro,2018,41,41051,Portland,4159000,9202,2011,2,4.1051E+14,41051009202,"Portland-Vancouver-Hillsboro, OR-WA",38900,metropolitan,"Portland-Vancouver-Salem, OR-WA",440,,
"805 S Governors Ave, Dover, DE 19901",DE,Provides Abortions,39.14842,-75.524685,1,rooftop,805,S Governors Ave,,,Dover,DE,Kent County,19904,US,Kent,2018,10,10001,Dover,1021200,41300,1073,1,1.0001E+14,10001041300,"Dover, DE",20100,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,,
"625 N Shipley Street, Wilmington, DE 19801",DE,Provides Abortions,39.742889,-75.550854,1,rooftop,625,N Shipley St,,,Wilmington,DE,New Castle County,19801,US,New Castle,2018,10,10003,Wilmington,1077580,2800,1051,1,1.0003E+14,10003002800,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428,"Wilmington, DE-MD-NJ",48864
"4803 State Highway/30 KEM Plaza, Amsterdam, NY 12010",NY,Provides Abortions,42.906298,-74.229042,0.33,place,,,,,Amsterdam,NY,Montgomery County,12010,US,TIGER/Line® dataset from the US Census Bureau,2018,36,36057,,,72800,3000,3,3.60571E+14,36057072800,"Amsterdam, NY",11220,micropolitan,"Albany-Schenectady, NY",104,,
"109 Legion Drive, Cobleskill, NY 12043",NY,Provides Abortions,42.680876,-74.480682,1,rooftop,109,Legion Dr,,,Cobleskill,NY,Schoharie County,12043,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36095,Cobleskill,3616628,740200,4027,4,3.60957E+14,36095740200,"Albany-Schenectady-Troy, NY",10580,metropolitan,"Albany-Schenectady, NY",104,,
"35 West William Street, Corning, NY 14830",NY,Provides Abortions,42.150194,-77.062516,1,rooftop,35,W William St,,,Corning,NY,Steuben County,14830,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36101,Corning,3618256,962500,2026,2,3.6102E+14,36101962500,"Corning, NY",18500,micropolitan,"Elmira-Corning, NY",236,,
"21-41 45th Rd, Queens, NY 11101",NY,Provides Abortions,40.746443,-73.946161,1,rooftop,21-41,45th Rd,,,Long Island City,NY,Queens County,11101,US,City of New York,2018,36,36081,New York,3651000,700,2001,2,3.6081E+14,36081000700,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"755 E. Church Street, Elmira, NY 14901",NY,Provides Abortions,42.094141,-76.794877,1,rooftop,755,E Church St,,,Elmira,NY,Chemung County,14901,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36015,Elmira,3624229,700,1027,1,3.6015E+14,36015000700,"Elmira, NY",21300,metropolitan,"Elmira-Corning, NY",236,,
"110 School Street, Glen Cove, NY 11542",NY,Provides Abortions,40.867957,-73.630406,1,rooftop,110,School St,,,Glen Cove,NY,Nassau County,11542,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36059,Glen Cove,3629113,517301,1013,1,3.60595E+14,36059517301,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Nassau County-Suffolk County, NY",35004
"7 Coates Drive, Suite 4, Goshen, NY 10924",NY,Provides Abortions,41.390469,-74.335807,1,rooftop,7,Coates Dr,Ste,4,Goshen,NY,Orange County,10924,US,Orange,2018,36,36071,Goshen,3629542,12100,4046,4,3.6071E+14,36071012100,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"540 Fulton Ave, Hempstead, NY 11550",NY,Provides Abortions,40.70986,-73.612719,1,rooftop,540,Fulton Ave,,,Hempstead,NY,Nassau County,11550,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36059,Hempstead,3633139,407201,3000,3,3.60594E+14,36059407201,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Nassau County-Suffolk County, NY",35004
"111 Seneca Street, Hornell, NY 14843",NY,Provides Abortions,42.332083,-77.660862,1,rooftop,111,Seneca St,,,Hornell,NY,Steuben County,14843,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36101,Hornell,3635672,960700,2005,2,3.6102E+14,36101960700,"Corning, NY",18500,micropolitan,"Elmira-Corning, NY",236,,
"620 West Seneca Street, Ithaca, NY 14850",NY,Provides Abortions,42.440319,-76.509489,1,rooftop,620,W Seneca St,,,Ithaca,NY,Tompkins County,14850,US,Tompkins,2018,36,36109,Ithaca,3638077,800,1019,1,3.6109E+14,36109000800,"Ithaca, NY",27060,metropolitan,"Ithaca-Cortland, NY",296,,
"400 North Perry Street, Johnstown, NY 12095",NY,Provides Abortions,43.020535,-74.368469,1,rooftop,400,N Perry St,,,Johnstown,NY,Fulton County,12095,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36035,Johnstown,3638781,971200,1023,1,3.6036E+14,36035971200,"Gloversville, NY",24100,micropolitan,"Albany-Schenectady, NY",104,,
"21 Grand Street, Kingston, NY 12401",NY,Provides Abortions,41.928867,-73.999602,1,rooftop,21,Grand St,,,Kingston,NY,Ulster County,12401,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36111,Kingston,3639727,951900,3004,3,3.6112E+14,36111951900,"Kingston, NY",28740,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,,
"26 Bleecker Street, New York, NY 10012",NY,Provides Abortions,40.725527,-73.993695,1,rooftop,26,Bleecker St,,,New York,NY,New York County,10012,US,City of New York,2018,36,36061,New York,3651000,5502,2009,2,3.6061E+14,36061005502,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"35 Carmans Road, Massapequa, NY 11758",NY,Provides Abortions,40.683529,-73.430514,1,rooftop,35,Carmans Rd,,,Massapequa,NY,Nassau County,11758,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36059,East Massapequa,3622480,522000,5009,5,3.60595E+14,36059522000,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Nassau County-Suffolk County, NY",35004
"14 Prince Street, Monticello, NY 12701",NY,Provides Abortions,41.654849,-74.690182,1,rooftop,14,Prince St,,,Monticello,NY,Sullivan County,12701,US,Sullivan,2018,36,36105,Monticello,3648175,951800,3002,3,3.6106E+14,36105951800,,,,,,,
"136 Lake Street, Suite 11, Newburgh, NY 12550",NY,Provides Abortions,41.497681,-74.030567,1,rooftop,136,Lake St,Ste,11,Newburgh,NY,Orange County,12550,US,Orange,2018,36,36071,Newburgh,3650034,600,2010,2,3.6071E+14,36071000600,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"17 Noxon Street, Poughkeepsie, NY 12601",NY,Provides Abortions,41.701113,-73.929422,1,rooftop,17,Noxon St,,,Poughkeepsie,NY,Dutchess County,12601,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36027,Poughkeepsie,3659641,220801,2002,2,3.60272E+14,36027220801,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"Dutchess County-Putnam County, NY",20524
"543 Bay Road, Queensbury, NY 12804",NY,Provides Abortions,43.346259,-73.655835,1,rooftop,543,Bay Rd,,,Queensbury,NY,Warren County,12804,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36113,Glens Falls North,3629338,70701,2001,2,3.61131E+14,36113070701,"Glens Falls, NY",24020,metropolitan,"Albany-Schenectady, NY",104,,
"236 Washington Street, Saratoga Springs, NY 12866",NY,Provides Abortions,43.079579,-73.801289,1,rooftop,236,Washington St,,,Saratoga Springs,NY,Saratoga County,12866,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36091,Saratoga Springs,3665255,61200,2004,2,3.60911E+14,36091061200,"Albany-Schenectady-Troy, NY",10580,metropolitan,"Albany-Schenectady, NY",104,,
"1040 State Street, Schenectady, NY 12307",NY,Provides Abortions,42.801355,-73.928584,1,rooftop,1040,State St,,,Schenectady,NY,Schenectady County,12307,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36093,Schenectady,3665508,20900,2006,2,3.6093E+14,36093020900,"Albany-Schenectady-Troy, NY",10580,metropolitan,"Albany-Schenectady, NY",104,,
"23 Hyatt Street , Staten Island, NY 10301",NY,Provides Abortions,40.64206,-74.07715,1,rooftop,23,Hyatt St,,,Staten Island,NY,Richmond County,10301,US,City of New York,2018,36,36085,New York,3651000,300,1005,1,3.6085E+14,36085000300,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"349 E 149th Street, 2nd Floor, Bronx, NY 10451",NY,Provides Abortions,40.816792,-73.919823,1,rooftop,349,E 149th St,Fl,2,Bronx,NY,Bronx County,10451,US,City of New York,2018,36,36005,New York,3651000,6500,4003,4,3.6005E+14,36005006500,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"1424 Genesee Street, Utica, NY 13502",NY,Provides Abortions,43.094184,-75.246687,1,rooftop,1424,Genesee St,,,Utica,NY,Oneida County,13502,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",2018,36,36065,Utica,3676540,21102,2003,2,3.6065E+14,36065021102,"Utica-Rome, NY",46540,metropolitan,,,,
"44 Court Street, 6th Floor, Brooklyn, NY 11201",NY,Provides Abortions,40.692663,-73.991102,1,rooftop,44,Court St,,,Brooklyn,NY,Kings County,11201,US,City of New York,2018,36,36047,New York,3651000,900,1002,1,3.6047E+14,36047000900,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408,"New York-Jersey City-White Plains, NY-NJ",35614
"25350 Rockside Rd, Bedford Heights, OH 44146",OH,Provides Abortions,41.40916,-81.499616,1,rooftop,25350,Rockside Rd,,,Bedford,OH,Cuyahoga County,44146,US,Cuyahoga,2018,39,39035,Bedford Heights,3904920,133104,1022,1,3.90351E+14,39035133104,"Cleveland-Elyria, OH",17460,metropolitan,"Cleveland-Akron-Canton, OH",184,,
"3255 East Main Street, Columbus, OH 43213",OH,Provides Abortions,39.956214,-82.91129,1,rooftop,3255,E Main St,,,Columbus,OH,Franklin County,43213,US,Franklin,2018,39,39049,Columbus,3918000,2770,1006,1,3.9049E+14,39049002770,"Columbus, OH",18140,metropolitan,"Columbus-Marion-Zanesville, OH",198,,
"1511 E. Missouri Avenue, El Paso, TX 79902",TX,Provides Abortions,31.770213,-106.476909,1,range_interpolation,1511,E Missouri Ave,,,El Paso,TX,El Paso County,79902,US,TIGER/Line® dataset from the US Census Bureau,2018,48,48141,El Paso,4824000,2202,5014,5,4.8141E+14,48141002202,"El Paso, TX",21340,metropolitan,"El Paso-Las Cruces, TX-NM",238,,
"201 E. Ben White Blvd - Bldg. A, Austin, TX 78704",TX,Provides Abortions,30.222872,-97.763033,1,range_interpolation,201,E Ben White Blvd,Bldg,A,Austin,TX,Travis County,78704,US,TIGER/Line® dataset from the US Census Bureau,2018,48,48453,Austin,4805000,2403,1000,1,4.8453E+14,48453002403,"Austin-Round Rock, TX",12420,metropolitan,,,,
"7989 West Virginia Drive, Dallas, TX 75237",TX,Provides Abortions,32.649248,-96.876398,1,rooftop,7989,W Virginia Dr,,,Dallas,TX,Dallas County,75237,US,Dallas,2018,48,48113,Dallas,4819000,16605,2015,2,4.8113E+14,48113016605,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Dallas-Plano-Irving, TX",19124
"6464 John Ryan Drive - Suite A, Fort Worth, TX 76132",TX,Provides Abortions,32.654841,-97.420965,1,rooftop,6464,John Ryan Dr,Ste,A,Fort Worth,TX,Tarrant County,76132,US,Tarrant County,2018,48,48439,Fort Worth,4827000,105508,2020,2,4.84391E+14,48439105508,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206,"Fort Worth-Arlington, TX",23104
