Facility Name,Address,Street address,City,State,Zipcode,Phone Number,Website,Still Open,Provides Abortions,New clinic since last update,MAB,Surgical/aspiration,MAB Gestational Limit,Surgical/aspiration Gestational Limit,Date Opened (Year),Date Updated
Planned Parenthood Los Angeles: Lakewood Health Center,"5525 E Del Amo Blvd., Lakewood, CA 90713",5525 E Del Amo Blvd.,Lakewood,CA,90713,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/lakewood/90713/lakewood-health-center-2359-90070,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Los Angeles: Long Beach Health Center,"2690 Pacific Avenue, STE 370, Long Beach, CA 90806","2690 Pacific Avenue, STE 370",Long Beach,CA,90806,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Los Angeles: Pomona Health Center,"1550 N Garey Ave, Pomona, CA 91767",1550 N Garey Ave,Pomona,CA,91767,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070,Currently Open,Provides Abortions,No,Yes,Yes,10w,16w,,7/7/20
Planned Parenthood Los Angeles: S. Mark Taper Foundation Center for Medical Training,"400 West 30th St, Los Angeles, CA 90007",400 West 30th St,Los Angeles,CA,90007,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s-mark-taper-foundation-center-for-medical-training-3862-90070,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Los Angeles: Santa Monica Health Center,"1316 3rd Street Promenade, Suite 201, Santa Monica, CA 90401","1316 3rd Street Promenade, Suite 201",Santa Monica,CA,90401,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/santa-monica/90401/santa-monica-health-center-2476-90070,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Los Angeles: South Bay Health Center,"14623 Hawthorne Blvd #300, Lawndale, CA 90260",14623 Hawthorne Blvd #300,Lawndale,CA,90260,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/lawndale/90260/south-bay-health-center-2477-90070,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Los Angeles: Van Nuys Health Center,"7100 Van Nuys Blvd., Suite 108, Van Nuys, CA 91405","7100 Van Nuys Blvd., Suite 108",Van Nuys,CA,91405,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/van-nuys/91405/van-nuys-health-center-2234-90070,Currently Open,Provides Abortions,No,Yes,Yes,10w,16w,,7/7/20
Planned Parenthood Los Angeles: West Hollywood Health Center,"825 N. San Vicente Blvd., West Hollywood, CA 90069",825 N. San Vicente Blvd.,West Hollywood,CA,90069,(800) 576-5544,https://www.plannedparenthood.org/health-center/california/west-hollywood/90069/west-hollywood-health-center-4187-90070,Currently Open,Provides Abortions,No,Yes,Yes,9w,24w,2015,7/7/20
Planned Parenthood Mar Monte: B Street Health Center,"201 29th Street, Ste. B, Sacramento, CA 95816","201 29th Street, Ste. B",Sacramento,CA,95816,(916) 446-6921,https://www.plannedparenthood.org/health-center/california/sacramento/95816/b-street-health-center-2200-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: Bakersfield Health Center,"2633 16th Street, Bakersfield, CA 93301",2633 16th Street,Bakersfield,CA,93301,(661) 634-1000,https://www.plannedparenthood.org/health-center/california/bakersfield/93301/bakersfield-health-center-4028-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: Blossom Hill Health Center,"5440 Thornwood Drive, San Jose, CA 95123",5440 Thornwood Drive,San Jose,CA,95123,(408) 281-9777,https://www.plannedparenthood.org/health-center/california/san-jose/95123/blossom-hill-health-center-3230-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: East Oakland/Coliseum Health Center,"8480 Enterprise Way, Oakland, CA 94621",8480 Enterprise Way,Oakland,CA,94621,(510) 746-4700,https://www.plannedparenthood.org/health-center/california/oakland/94621/east-oakland-coliseum-health-center-4188-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: Eastland Plaza Health Center,"678 N Wilson Way #G, Stockton, CA 95205",678 N Wilson Way #G,Stockton,CA,95205,(209) 466-2081,https://www.plannedparenthood.org/health-center/california/stockton/95205/eastland-plaza-health-center-2529-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Eastside Health Center,"3131 Alum Rock Avenue, San Jose, CA 95127",3131 Alum Rock Avenue,San Jose,CA,95127,(408) 729-7600,https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Family First Health Center,"6095 N. 1st Street, Fresno, CA 93710",6095 N. 1st Street,Fresno,CA,93710,(559) 446-1515,https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,2015,7/7/20
Planned Parenthood Mar Monte: Fifth Street Health Center ,"455 W. 5th Street Reno, NV 89503",455 W. 5th Street,Reno,NV,89503,(775) 688-5555,https://www.plannedparenthood.org/health-center/nevada/reno/89503/fifth-street-health-center-2262-90130,Currently Open,Provides Abortions,Yes,Yes,No,10w,,,6/4/20
Planned Parenthood Mar Monte: Fruitridge Health Center,"5385 Franklin Blvd., Suite A-D, Sacramento, CA 95820","5385 Franklin Blvd., Suite A-D",Sacramento,CA,95820,(916) 452-7305,https://www.plannedparenthood.org/health-center/california/sacramento/95820/fruitridge-health-center-2198-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Fulton Street Health Center,"650 N. Fulton Street, Fresno, CA 93728",650 N. Fulton Street,Fresno,CA,93728,(559) 488-4900,https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: Gilroy Health Center,"760 Renz Lane, Gilroy, CA 95020",760 Renz Lane,Gilroy,CA,95020,(408) 847-1739,https://www.plannedparenthood.org/health-center/california/gilroy/95020/gilroy-health-center-2433-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Hayward Health Center,"1032 A Street, Hayward, CA 94541",1032 A Street,Hayward,CA,94541,(510) 300-3800,https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Madera Health Center,"500 E. Almond Suite #1, Madera, CA 93637",500 E. Almond Suite #1,Madera,CA,93637,(559) 675-1133,https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Merced Health Center,"3166 Collins Dr., Merced, CA 95348",3166 Collins Dr.,Merced,CA,95348,(209) 723-0295,https://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130,Currently Open,Provides Abortions,Yes,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Mountain View Health Center,"2500 California Street, Mountain View, CA 94040",2500 California Street,Mountain View,CA,94040,(650) 948-0807,https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: North Highlands Health Center,"5700 Watt Ave., North Highlands, CA 95660",5700 Watt Ave.,North Highlands,CA,95660,(916) 332-5715,https://www.plannedparenthood.org/health-center/california/north-highlands/95660/north-highlands-health-center-2201-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: North Stockton Health Center,"4555 Precissi Lane, Stockton, CA 95207",4555 Precissi Lane,Stockton,CA,95207,(209) 477-4103,https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,20w,,7/7/20
Planned Parenthood Mar Monte: Redwood City Health Center,"2907 El Camino Real, Redwood City , CA 94061",2907 El Camino Real,Redwood City,CA,94061,(650) 503-7810,https://www.plannedparenthood.org/health-center/california/redwood-city/94061/redwood-city-health-center-4129-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,2015,7/7/20
Planned Parenthood Mar Monte: Roseville Health Center,"729 Sunrise Ave. Suite 900, Roseville, CA 95661",729 Sunrise Ave. Suite 900,Roseville,CA,95661,(916) 781-3310,https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Salinas Health Center,"316 N. Main Street, Salinas, CA 93901",316 N. Main Street,Salinas,CA,93901,(831) 758-8261,https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: San Jose Central Health Center,"1691 The Alameda, San Jose, CA 95126",1691 The Alameda,San Jose,CA,95126,(408) 287-7526,https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-central-health-center-3263-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: San Mateo Health Center,"29 Baywood Ave, San Mateo, CA 94402",29 Baywood Ave,San Mateo,CA,94402,(650) 235-7940,https://www.plannedparenthood.org/health-center/california/san-mateo/94402/san-mateo-health-center-4104-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: Seaside Health Center,"625 Hilby Ave, Seaside, CA 93955",625 Hilby Ave,Seaside,CA,93955,(831) 394-1691,https://www.plannedparenthood.org/health-center/california/seaside/93955/seaside-health-center-2233-90130,Currently Open,Provides Abortions,No,Yes,Yes,10w,24w,,7/7/20
Planned Parenthood Mar Monte: South San Francisco Health Center,"435 Grand Avenue, South San Francisco, CA 94080",435 Grand Avenue,South San Francisco,CA,94080,(877) 855-7526,https://www.plannedparenthood.org/health-center/california/south-san-francisco/94080/south-san-francisco-health-center-4255-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Tracy Health Center,"1441 N. Tracy Blvd., Tracy, CA 95376",1441 N. Tracy Blvd.,Tracy,CA,95376,(209) 835-8910,https://www.plannedparenthood.org/health-center/california/tracy/95376/tracy-health-center-3856-90130,Currently Open,Provides Abortions,Yes,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Watsonville Health Center,"398 South Green Valley Road, Watsonville, CA 95076",398 South Green Valley Road,Watsonville,CA,95076,(831) 724-7525,https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: West Oakland,"1682 7th Street, Oakland, CA 94607",1682 7th Street,Oakland,CA,94607,(510) 300-3800,https://www.plannedparenthood.org/health-center/california/oakland/94607/west-oakland-health-center-4090-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Westside Health Center,"1119 Pacific Ave. Suite 200, Santa Cruz, CA 95060",1119 Pacific Ave. Suite 200,Santa Cruz,CA,95060,(831) 426-5550,https://www.plannedparenthood.org/health-center/california/santa-cruz/95060/westside-health-center-2232-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Woodland Health Center,"520 Cottonwood Street, Suite 10, Woodland, CA 95695","520 Cottonwood Street, Suite 10",Woodland,CA,95695,(530) 662-4646,https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood Mar Monte: Yuba City Health Center,"430 Palora Ave #G, Yuba City, CA 95991",430 Palora Ave #G,Yuba City,CA,95991,(530) 674-2603,https://www.plannedparenthood.org/health-center/california/yuba-city/95991/yuba-city-health-center-2374-90130,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood North Central States: Ames Center,"2530 Chamberlain Street, Ames, IA 50014",2530 Chamberlain Street,Ames,IA,50014,(877) 811-7526,https://www.plannedparenthood.org/health-center/iowa/ames/50014/ames-center-2385-90380,Currently Open,Provides Abortions,No,Yes,No,10w,,,8/31/20
Planned Parenthood North Central States: Cedar Falls Center,"2520 Melrose Drive, Suite L, Cedar Falls, IA 50613","2520 Melrose Drive, Suite L",Cedar Falls,IA,50613,(877) 811-7526,https://www.plannedparenthood.org/health-center/iowa/cedar-falls/50613/cedar-falls-center-2866-90380,Currently Open,Provides Abortions,No,Yes,No,11w,,,6/23/20
Planned Parenthood North Central States: Council Bluffs Health Center,"1604 2nd Ave, Council Bluffs, IA 51501",1604 2nd Ave,Council Bluffs,IA,51501,(877) 811-7526,https://www.plannedparenthood.org/health-center/iowa/council-bluffs/51501/council-bluffs-health-center-3683-90380,Currently Open,Provides Abortions,No,Yes,No,10w,,,8/31/20
Planned Parenthood North Central States: Lincoln South Health Center,"5631 S. 48th Street, Lincoln, NE 68516",5631 S. 48th Street,Lincoln,NE,68516,(877) 811-7526,https://www.plannedparenthood.org/health-center/nebraska/lincoln/68516/lincoln-south-health-center-4062-90380,Currently Open,Provides Abortions,No,Yes,Yes,11w,16.6w,,8/31/20
Planned Parenthood North Central States: Northwest Health Center,"3105 N. 93rd St, Omaha, NE 68134",3105 N. 93rd St,Omaha,NE,68134,(877) 811-7526,https://www.plannedparenthood.org/health-center/nebraska/omaha/68134/northwest-health-center-2447-90380,Currently Open,Provides Abortions,No,Yes,Yes,10w,16.6w,,8/31/20
Planned Parenthood North Central States: Rochester Clinic,"1212 7th St. NW, Rochester, MN 55901",1212 7th St. NW,Rochester,MN,55901,(507) 288-5186,https://www.plannedparenthood.org/health-center/minnesota/rochester/55901/rochester-health-center-2799-90720,Currently Open,Provides Abortions,No,Yes,No,10w,,,8/31/20
Planned Parenthood North Central States: Rosenfield Center,"1000 E. Army Post Road, Des Moines, IA 50315",1000 E. Army Post Road,Des Moines,IA,50315,(877) 811-7526,https://www.plannedparenthood.org/health-center/iowa/des-moines/50315/rosenfield-center-2386-90380,Currently Open,Provides Abortions,No,Yes,Yes,10w,19.6w,,8/31/20
Planned Parenthood North Central States: Sioux Falls Clinic,"6511 West 41st Street, Sioux Falls, SD 57106",6511 West 41st Street,Sioux Falls,SD,57106,(605) 361-5100,https://www.plannedparenthood.org/health-center/south-dakota/sioux-falls/57106/sioux-falls-health-center-2738-90720,Currently Open,Provides Abortions,No,Yes,Yes,10w,13.6w,,8/31/20
Planned Parenthood North Central States: St. Paul Health Center - Vandalia,"671 Vandalia St., St. Paul, MN 55114",671 Vandalia St.,St. Paul,MN,55114,(651) 698-2406,https://www.plannedparenthood.org/health-center/minnesota/saint-paul/55114/st-paul-health-center-vandalia-4055-90720,Currently Open,Provides Abortions,No,Yes,Yes,10w,23.5w,,8/31/20
Planned Parenthood Northern California: Antioch Health Center,"1104 Buchanan Road #C10, Antioch, CA 94509",1104 Buchanan Road #C10,Antioch,CA,94509,(925) 754-4550,https://www.plannedparenthood.org/health-center/california/antioch/94509/antioch-health-center-2573-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,2015,7/8/20
Planned Parenthood Northern California: Chico Health Center,"3100 Cohasset Rd., Chico, CA 95973",3100 Cohasset Rd.,Chico,CA,95973,(530) 342-8367,https://www.plannedparenthood.org/health-center/california/chico/95973/chico-health-center-2770-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.6w,,7/8/20
Planned Parenthood Northern California: Clearlake Health Center,"14671 Olympic Drive, Clearlake, CA 95422",14671 Olympic Drive,Clearlake,CA,95422,(707) 995-2261,https://www.plannedparenthood.org/health-center/california/clearlake/95422/clearlake-health-center-4068-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,2015,7/8/20
Planned Parenthood Northern California: Concord Health Center,"2185 Pacheco Street, Concord, CA 94520",2185 Pacheco Street,Concord,CA,94520,(925) 676-0300,https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: El Cerrito Health Center,"320 El Cerrito Plaza, El Cerrito, CA 94530",320 El Cerrito Plaza,El Cerrito,CA,94530,(510) 527-5806,https://www.plannedparenthood.org/health-center/california/el-cerrito/94530/el-cerrito-health-center-3940-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Eureka Health Center,"3225 Timber Fall Court, Suite B, Eureka, CA 95503","3225 Timber Fall Court, Suite B",Eureka,CA,95503,(707) 442-5700,https://www.plannedparenthood.org/health-center/california/eureka/95503/eureka-health-center-2301-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,13.6w,,7/8/20
Planned Parenthood Northern California: Fairfield Health Center,"1325 Travis Blvd. #C, Fairfield, CA 94533",1325 Travis Blvd. #C,Farfield,CA,94533,(707) 429-8855,https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.6w,,7/8/20
Planned Parenthood Northern California: Hilltop-Richmond Health Center,"2970 Hilltop Mall Rd #307, Richmond, CA 94806",2970 Hilltop Mall Rd #307,Richmond,CA,94806,(510) 222-5290,https://www.plannedparenthood.org/health-center/california/richmond/94806/hilltop-richmond-health-center-2791-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Napa Health Center,"1735 Jefferson St, Napa, CA 94559",1735 Jefferson St,Napa,CA,94559,(707) 252-8050,https://www.plannedparenthood.org/health-center/california/napa/94559/napa-health-center-2702-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Redding Health Center,"2935 Bechelli Lane, Redding, CA 96002",2935 Bechelli Lane,Redding,CA,96002,(530) 351-7100,https://www.plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: San Francisco Health Center,"1650 Valencia St, San Francisco, CA 94110",1650 Valencia St,San Francisco,CA,94110,(415) 821-1282,https://www.plannedparenthood.org/health-center/california/san-francisco/94110/san-francisco-health-center-3997-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,16w,,7/8/20
Planned Parenthood Northern California: San Rafael Health Center,"2 H Street, San Rafael, CA 94901",2 H Street,San Rafael,CA,94901,(415) 459-4907,https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,13.6w,,7/8/20
Planned Parenthood Northern California: San Ramon Health Center,"200 Porter Drive, Suite 200, San Ramon, CA 94583","200 Porter Drive, Suite 200",San Ramon,CA,94583,(925) 838-2108,https://www.plannedparenthood.org/health-center/california/san-ramon/94583/san-ramon-health-center-2572-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Santa Rosa Health Center,"1140 Sonoma Ave Building 3, Santa Rosa, CA 95405",1140 Sonoma Ave Building 3,Santa Rosa,CA,95405,(707) 527-7656,https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,16w,,7/8/20
Planned Parenthood Northern California: Ukiah Health Center,"242-A Hospital Drive, Ukiah, CA 95482",242-A Hospital Drive,Ukiah,CA,95482,(707) 462-4303,https://www.plannedparenthood.org/health-center/california/ukiah/95482/ukiah-health-center-4034-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Vallejo Health Center,"303 Sacramento Street, Vallejo, CA 94590",303 Sacramento Street,Vallejo,CA,94590,(707) 643-4545,https://www.plannedparenthood.org/health-center/california/vallejo/94590/vallejo-health-center-2699-90200,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/8/20
Planned Parenthood Northern California: Walnut Creek Health Center,"1357 Oakland Blvd., Walnut Creek, CA 94596",1357 Oakland Blvd.,Walnut Creek,CA,94596,(925) 935-3010,https://www.plannedparenthood.org/health-center/california/walnut-creek/94596/walnut-creek-health-center-2571-90200,Currently Open,Provides Abortions,No,Yes,Yes,10w,17.6w,,7/8/20
"Planned Parenthood of Central and Western New York, Inc: Greece Health Center","2824 W Ridge Road, Rochester, NY 14626",2824 W Ridge Road,Rochester,NY,14626,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/rochester/14626/greece-health-center-2354-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Batavia Health Center","222 W Main Street, Batavia, NY 14020",222 W Main Street,Batavia,NY,14020,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/batavia/14020/batavia-health-center-2353-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Buffalo Health Center","2697 Main Street, Buffalo, NY 14214",2697 Main Street,Buffalo,NY,14214,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/buffalo/14214/buffalo-health-center-3334-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Canandaigua Center","15 LaFayette Avenue, Canandiagua, NY 14424",15 LaFayette Avenue,Canandiagua,NY,14424,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/canandaigua/14424/canandaigua-health-center-2352-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Niagara Falls Office","750 Portage Road, Niagara Falls, NY 14301",750 Portage Road,Niagara Falls,NY,14301,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/niagara-falls/14301/niagara-falls-office-2976-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: North Tonawanda Health Center","15 Webster Street, North Tonawanda, NY 14120",15 Webster Street,North Tonawanda,NY,14120,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/north-tonawanda/14120/north-tonawanda-health-center-2977-91040/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Rochester Health Center","114 University Avenue, Rochester, NY 14605",114 University Avenue,Rochester,NY,14605,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/rochester/14605/rochester-health-center-3332-91040/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,13.6w,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: Syracuse Center","1120 E Genesee Street, Syracuse, NY 13210",1120 E Genesee Street,Syracuse,NY,13210,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,13.6w,,7/7/20
"Planned Parenthood of Central and Western New York, Inc.: West Seneca Health Center","Wimbledon Plaza 240 Center Road, West Seneca, NY 14224",Wimbledon Plaza 240 Center Road,West Seneca,NY,14224,(866) 600-6886,https://www.plannedparenthood.org/health-center/new-york/west-seneca/14224/west-seneca-health-center-2693-91040/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,13.6w,,7/7/20
Planned Parenthood of Columbia Williamette: Hillman East Portland,"14601 SE Division Street Portland, OR 97233",14601 SE Division Street,Portland,OR ,97233,(888) 875-7820,https://www.plannedparenthood.org/health-center/oregon/portland/97233/hillman-east-portland-center-2673-91400,UNSURE,Provides Abortions,Yes,Yes,No,19w,,2020,6/4/20
Planned Parenthood of Delaware: Dover Center,"805 S Governors Ave, Dover, DE 19901",805 S Governors Ave,Dover,DE,19901,(302) 678-5200,https://www.plannedparenthood.org/health-center/delaware/dover/19901/dover-center-2896-90240/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,15.6w,,6/12/20
Planned Parenthood of Delaware: Wilmington Center,"625 N Shipley Street, Wilmington, DE 19801",625 N Shipley Street,Wilmington,DE,19801,(302) 655-7293,https://www.plannedparenthood.org/health-center/delaware/wilmington/19801/wilmington-center-de-3272-90240/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,15.6w,,6/12/20
Planned Parenthood of Greater New York: Amsterdam Center,"4803 State Highway/30 KEM Plaza, Amsterdam, NY 12010",4803 State Highway/30 KEM Plaza,Amsterdam,NY,12010,(518) 842-0285,https://www.plannedparenthood.org/health-center/new-york/amsterdam/12010/amsterdam-center-3047-91180/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,2017,7/7/20
Planned Parenthood of Greater New York: Cobleskill Center,"109 Legion Drive, Cobleskill, NY 12043",109 Legion Drive,Cobleskill,NY,12043,(518) 234-3325,https://www.plannedparenthood.org/health-center/new-york/cobleskill/12043/cobleskill-center-2783-91180/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
Planned Parenthood of Greater New York: Corning Center,"35 West William Street, Corning, NY 14830",35 West William Street,Corning,NY,14830,(607) 962-4686,https://www.plannedparenthood.org/health-center/new-york/corning/14830/corning-health-center-2345-91090/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
Planned Parenthood of Greater New York: Diane L. Max Health Center,"21-41 45th Rd, Queens, NY 11101",21-41 45th Rd,Queens,NY,11101,(212) 965-7000,https://www.plannedparenthood.org/health-center/new-york/queens/11101/diane-l-max-health-center-4184-91110/abortion,Currently Open,Provides Abortions,No,Yes,Yes,11w,12.6w,2016,7/7/20
Planned Parenthood of Greater New York: Elmira Health Center,"755 E. Church Street, Elmira, NY 14901",755 E. Church Street,Elmira,NY,14901,(607) 734-3313,https://www.plannedparenthood.org/health-center/new-york/elmira/14901/elmira-health-center-2349-91090/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
Planned Parenthood of Greater New York: Glen Cove Center,"110 School Street, Glen Cove, NY 11542",110 School Street,Glen Cove,NY,11542,(516) 750-2500,https://www.plannedparenthood.org/health-center/new-york/glen-cove/11542/glen-cove-center-2787-91100/abortion,Currently Open,Provides Abortions,No,Yes,No,10w,,,7/7/20
Planned Parenthood of Greater New York: Goshen Center,"7 Coates Drive, Suite 4, Goshen, NY 10924","7 Coates Drive, Suite 4",Goshen,NY,10924,(845) 562-7800,https://www.plannedparenthood.org/health-center/new-york/goshen/10924/goshen-health-center-2624-91160/abortion,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
Planned Parenthood of Greater New York: Hempstead Center,"540 Fulton Ave, Hempstead, NY 11550",540 Fulton Ave,Hempstead,NY,11550,(516) 750-2500,https://www.plannedparenthood.org/health-center/new-york/hempstead/11550/hempstead-center-3321-91100/abortion,Currently Open,Provides Abortions,No,Yes,Yes,10w,13.6w,,7/7/20
Planned Parenthood of Greater New York: Hornell Center,"111 Seneca Street, Hornell, NY 14843",111 Seneca Street,Hornell,NY,14843,(607) 324-1124,http://www.plannedparenthood.org/health-center/centerDetails.asp?f=2347,Currently Open,Provides Abortions,No,Yes,No,11w,,,7/7/20
